,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Automobiles traveling along Hawthorne Blvd. approaching overpass of newly expanded 405 Freeway in Lawndale, Calif., 1963",Automobile driving--California--Los Angeles County,Other,,San Diego Freeway (Calif.),,1963-01-01,1963,"LAWNDALE'S NEW LOOK-San Diego Freeway cuts across Hawthorne Blvd., Lawndale's main street. Individual freeway victim sometimes resents intruder.",-118.3527195,33.88525525,"33.88525525,-118.3527195",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167752a.jpg
"Aerial view of coastline and Marina del Rey, barren expect for a few docks, Calif., 1963",Coastlines--California--Los Angeles County,Other,,Pacific Coast (Calif.),,1963-01-01,1963,"IMPACT-The magnificent Marina del Rey went into full-scale use during the past year. This air view shows scope of marina, with outlet at upper left. The marina carries significant effects for area.",-118.4389257,33.98375878,"33.98375878,-118.4389257",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167763a.jpg
"Aerial view of single engine plane above runway and surrounding terrain at Cable Airport in Upland, Calif., 1964",Airports--California--San Bernardino County,Other,"Cable Airport (Upland, Calif.)",Upland (Calif.)--Aerial views,"Lynn, Bob",1964-01-01,1964,"BURGEONING AIRPORT-A light, single-engine plane courses downward on final landing approach to Cable Airport in Upland. The facility, 18 years ago a rocky, sagebrush-studded field, has burgeoned into the largest private airport in the United States.",-117.6930141,34.10977923,"34.10977923,-117.6930141",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167899a.jpg
"Jo Jeanne Angeloff rubbing eyes from effects of smog atop the Occidental Center building in Los Angeles, Calif., 1965",Air--Pollution--Physiological effect--California--Los Angeles,Other,"Angeloff, Jeanne",Los Angeles County (Calif.)--Environmental conditions,"Oliver, R. L.",1965-01-01,1965,"WEATHER TO WEEK OVER-Downtown Los Angeles is shrouded under the year's heaviest layer of smog, and Mrs. Jo Jeanne Angeloff suffers from its eye-stinging effects as she views the city from atop the new Occidental Center.",-118.2616961,34.03969814,"34.03969814,-118.2616961",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168240a.jpg
"Boat in the Sculling and Punting Society parade along Balboa Island, Calif., 1965","Prohibition--United States--Anniversaries, etc.",Other,,"Balboa (Newport Beach, Calif.)","Brown, Frank Q.",1965-01-01,1965,TOASTING ANNIVERSARY-One of 25 boats in Balboa Island Sculling and Punting Society parade to toast 32nd anniversary of the repeal of prohibition begins turn around Sunday in Newport Bay.,-117.891346,33.606233,"33.606233,-117.891346",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326715a.jpg
"Boy Scout wiping the eyes of girl during smog alert in Reseda, Calif., 1965",Air--Pollution--Physiological effect--California--Los Angeles,Other,,Los Angeles County (Calif.)--Environmental conditions,"Dare, Ken",1965-01-01,1965,"GOOD TURN ON BAD DAY-Jeffrey La France, a Reseda boy scout, helps Nancy Rayder, 11, dry her eyes during four-hour smog alert called in Reseda.",-118.5360278,34.2010624,"34.2010624,-118.5360278",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168316a.jpg
"Author Lawrence Lipton, chronicler of the beatnik scene, demonstrating his robot, DUHAB",Robots,Other,"Lipton, Lawrence, 1898-1975",Los Angeles (Calif.),,1965-01-01,1965,"GADGET FOR TODAY-Author Lawrence Lipton, chronicler of the beatnik scene, demonstrates his ""robot,"" Duhab (detector of undesirable habitues). Lipton says robot ferrets out the undesirables-including censors, book-burners",-118.4549949,33.99116797,"33.99116797,-118.4549949",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168294a.jpg
"Automobiles driving through flooded streets at Broadway and 7th Street in downtown Los Angeles, Calif., 1965",Automobile driving in bad weather,Other,,Los Angeles (Calif.),"Brown, Frank Q.",1965-01-01,1965,DAMP AND DARK-Cars with headlights burning splash along Broadway at 7th St. during the downpour.,-118.2533881,34.0452036,"34.0452036,-118.2533881",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326279a.jpg
"Bearded man drinking coffee at Venice West Coffee House, ""beatnik"" caf棠濠 in Venice, Calif., 1965",Bohemians--California--Los Angeles,Other,,"Venice (Los Angeles, Calif.)","Hackley, Gene",1965-01-01,1965,CONTEMPLATION-A beatnik sips coffee at last Venice refuge.,-118.4794287,33.9942239,"33.9942239,-118.4794287",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168275a.jpg
"Los Angeles Public Library's Business and Economics librarian, Thelma Jackman, 1965",Business libraries--California--Los Angeles County,Other,"Jackman, Thelma, 1904-1985",Los Angeles (Calif.)--Officials and employees,"Olender, Ben",1965-01-01,1965,"BUSINESS DATA-FINDER: Mrs. Thelma Jackman, founder of the Public Library's Business & Economics Section.",-118.2550979,34.05029045,"34.05029045,-118.2550979",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168135a.jpg
"Los Angeles County Sheriff Pete Pitchess watches retired sheriff Eugene Biscailuz sample his 82nd birthday cake, 1965",Birthdays,Other,"Pitchess, Peter J., 1912-1999",Los Angeles (Calif.),,1965-01-01,1965,BIRTHDAY CELEBRATION-Sheriff Pete Pitchess watches as former Sheriff Eugene Biscailuz observes 82nd birth date by sampling cake during a party Friday at the Sheriff's office in Civic Center.,-118.2464129,34.05484166,"34.05484166,-118.2464129",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168119a.jpg
"Douglas DC-9 airliner on runway at Long Beach Municipal Airport, Calif., 1965",Jet planes--United States--1960-1970,Other,,Long Beach (Calif.),,1965-01-01,1965,BEFORE SUCCESSFUL TEST-New Douglas DC-9 airliner taxis down runway at Long Beach Municipal Airport prior to making flight.,-118.1540215,33.81658443,"33.81658443,-118.1540215",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326262a.jpg
"John Marcum, 9, being aided by doctors during hemophilia rehabilitation, 1965.",Children $x Hospital care $z California $z Los Angeles,Other,Orthopaedic Hospital,,"Frampton, Mary",1965-01-01,1965,"AID FOR BOY - Dr. Shirley Whiteman, left and Dr. Shelby Dietrich encourage John Marcum, one of patients being aided through hemophilia rehabilitation project.",-118.27334,34.027741,"34.027741,-118.27334",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0025j1fj_1696890_thumbnail.jpg
"Artist, Edward Kienholz with his work ""Back Seat Dodge-38,"" Los Angeles, Calif., 1966",Sculptors--United States,Other,"Kienholz, Edward, 1927-1994",Los Angeles (Calif.),,1966-01-01,1966,"UNMOVED BY CRITICS-Edward Kienholz with ""Back Seat Dodge-38,"" a controversial work condemned by the county supervisors. Kienholz said he would close exhibition rather than delete any of its parts.",-118.3596987,34.06309902,"34.06309902,-118.3596987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328471a.jpg
"Buildings along Pershing Square in Los Angeles, Calif., 1966",Business districts--California--Los Angeles,Other,"Pershing Square (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.",,1966-01-01,1966,"THE OLD--Outdated buildings border Pershing Square, long Los Angeles' nominal center. A rash of new skyscrapers edging near, however, already has brought this center of the city into sharper focus.",-118.2529843,34.04924594,"34.04924594,-118.2529843",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326006a.jpg
"Bunker Hill Victorian house called ""The Castle"" standing in front of 42 story Union Bank building in Los Angeles, Calif., 1966",Historic buildings--California--Los Angeles County,Other,"Union Bank (Los Angeles, Calif.)--Buildings","Bunker Hill (Los Angeles, Calif.)","Cox, Bruce H.",1966-01-01,1966,"THE LOW AND THE MIGHTY-- An ancient residence on Bunker Hill called ""The Castle"" stands virtually alone now--except for the looming giant in the background, the mammoth new Union Bank Bldg. At 42 stories, the skyscraper leaves the top of the hill far below -- but not behind.  The Castle, built in 1882 at 325 S. Bunker Hill Ave., is being preserved by the city as part of Los Angeles past.",-118.2453928,34.0606486,"34.0606486,-118.2453928",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325953a.jpg
"Automated self-service post office in Pasadena, Calif., 1966",Post offices--California--Los Angeles County,Other,United States Postal Service,Pasadena (Calif.),,1966-01-01,1966,"SELF-SERVICE--Automated post office in Pasadena shopping center makes it possible for customers to weigh, stamp and mail packages and letters at all hours. Most varieties of stamps and change machines are available there.",-118.070802,34.151157,"34.151157,-118.070802",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329741a.jpg
"Minh Son Nguyen playing baseball with therapist Edith Gillespie at Orthopaedic Hospital in Los Angeles, Calif., 1966","Vietnam War, 1961-1975--Children",Other,Orthopaedic Hospital,Los Angeles (Calif.),"Cox, Bruce H.",1966-01-01,1966,"PART OF THE THERAPY-Minh Son Nguyen, 11, Vietnamese war victim who lost left hand when he was 3, swings baseball bat with help of new artificial hand at Orthopaedic Hospital. Catching for him is Miss Edith Gillespie, occupational therapist, who said that swinging bat is first stage of Minh's therapy. He'll learn to use the hand in other tasks in next few weeks. Boy and sister, 9, were adopted last July by Phillip Rockstroth family, Northridge, whose son, Dennis, met them in a Vietnam orphanage.",-118.2735193,34.02782856,"34.02782856,-118.2735193",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328492a.jpg
"Aerial view of a crowd filled Anaheim Stadium and surrounding area on it's opening day April 9, 1966",Landmarks,Other,"Anaheim Stadium (Anaheim, Calif.)",Anaheim (Calif.),"Olender, Ben",1966-01-01,1966,"PACKED HOUSE OPENS ANAHEIM STADIUM-A paying crowd of 40,735 welcomed major league baseball to Anaheim Saturday. California Angels absorbed 9-3 loss from San Francisco Giants.",-117.8695679,33.80618143,"33.80618143,-117.8695679",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327082a.jpg
"Lynn A. Townsend, president of Chrysler Corp., showing company's 1967 Imperial, Calif.",Imperial automobile,Other,"Townsend, Lynn A., 1919-2000",Los Angeles (Calif.),,1966-01-01,1966,"NEW IMPERIAL--Lynn A. Townsend, president of Chrysler Corp., shows off the company's 1967 Imperial at a press conference at the Century Plaza hotel. He and other Chrysler officials are here to introduce the Chrysler line, which will go on sale at dealerships on Sept. 29.",-118.4163308,34.05761939,"34.05761939,-118.4163308",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328523a.jpg
"Lawrence Clark Powell, University Librarian for UCLA, 1966",Librarians--California--Los Angeles County,Other,"Powell, Lawrence Clark, 1906-",Los Angeles (Calif.),"Frampton, Mary",1966-01-01,1966,"CLEANING OUT-Book shelf already is partially empty, soon Dr. Lawrence Clark Powell will leave UCLA.",-118.4421015,34.07183991,"34.07183991,-118.4421015",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328502a.jpg
"Model wearing vinyl dress at Paraphernalia boutique in Beverly Hills, Calif., 1967",Clothing stores--California--Los Angeles,Other,,Beverly Hills (Calif.),"Chase, Harry",1967-01-01,1967,"SURPRISING STYLES--Anne Marshall goes barefooted to show off see-through vinyl dress and dons high Italian boots to go with vinyl shift at Paraphernalia boutique, located in Beverly Hills.",-118.4021445,34.0682356,"34.0682356,-118.4021445",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325845a.jpg
"Automobiles passing billboards along Ventura Freeway near Agoura Hills, Calif., 1967",Express highways--California--Los Angeles County,Other,,Ventura Freeway (Calif.),"Dare, Ken",1967-01-01,1967,"PART OF THE FOREST--Big signs, little signs, tall signs, and short signs greet motorists on the Ventura Freeway near town of Agoura. President of Chamber of Commerce sadly calls this part of the strip ""Billboard Alley.""",-118.7408352,34.1432086,"34.1432086,-118.7408352",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326043a.jpg
"Le Poulet, the rooster who laid eggs, in courtyard of Los Angeles County Museum of Art, 1967",Roosters,Other,Los Angeles County Museum of Art,Los Angeles (Calif.),"Hackley, Gene",1967-01-01,1967,"LAYING AN EGG--Le Poulet, feathers ruffled by the hot weather, drinks water by the crawfull but refuses to walk up and down Wilshire Blvd. in front of County Museum as expected to do in publicizing book, ""Le Poulet: a rooster who laid eggs."" Tethered friend is Mike Malone, 8, of Hollywood.",-118.358717,34.06407225,"34.06407225,-118.358717",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325856a.jpg
"Line of Watts residents digging foundation for Watts Towers Art Center, 1967",Arts,Other,Watts Towers Art Center--Design and construction,"Watts (Los Angeles, Calif.)",,1967-01-01,1967,"DIG, BABY, DIG--Watts community leaders and friends pitch in with shovels to dig trenches for the foundation of a new Community Arts Center.",-118.2411799,33.93876381,"33.93876381,-118.2411799",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325850a.jpg
"Close-up of President Lyndon Johnson eating a slice of cake at Camp Pendleton, Calif., 1967",Birthdays,Other,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973",Camp Pendleton (Calif.),"Sharkey, Larry",1967-01-01,1967,BIRTHDAY BITE--President Johnson wades into a piece of Marine birthday cake at Camp Pendleton.,-117.314552,33.313998,"33.313998,-117.314552",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326069a.jpg
"Los Angeles police officer inspecting area of Ambassador Hotel kitchen where Robert F. Kennedy was shot, 1968",Crime scenes--California--Los Angeles County,Other,"Kennedy, Robert F., 1925-1968 --Assassination",Los Angeles (Calif.),"Hackley, Gene",1968-01-01,1968,,-118.2970476,34.06002816,"34.06002816,-118.2970476",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326099a.jpg
"Maharishi Mahesh Yogi and Los Angeles Mayor Sam Yorty at press conference, 1968",Yogis,Other,"Yorty, Sam, 1909-",Los Angeles (Calif.)--Officials and employees,"Sharkey, Larry",1968-01-01,1968,"MYSTIC MEETS THE MAYOR--Maharishi Mahesh Yogi, famed for the tutoring of celebrities at his retreat in India, has his bare feet curled under him during a visit with Mayor Yorty at City Hall. Yorty later said: ""The Maharishi in his own way has a philosophy and is trying to help people."" The Maharishi replied: ""I'm in the world to give advice."" On desk are roses mystic carries as ""love tokens.""",-118.2426202,34.05363722,"34.05363722,-118.2426202",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325887a.jpg
"Mas Miyakoda, manager of Sumitomo Bank of California demonstrating how to use ATM machine in Monterey Park, Calif., 1969",Automated tellers--United States--1960-1970,Other,Sumitomo Bank of California,Monterey Park (Calif.),"Malmin, John",1969-01-01,1969,"INSTANT MONEY--Mas Miyakoda, manager of Sumitomo Bank of California's Monterey Park branch, shows how to work money machine. Specially coded credit card is inserted in slot, buttons at bottom are punched and cash is delivered to the customer.",-118.1450307,34.03896023,"34.03896023,-118.1450307",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327209a.jpg
"Lifeguard and woman inspecting oil covered beach in Santa Monica, Calif., 1969",Seashore--California--Los Angeles County,Other,,Santa Monica (Calif.),"Fry, George R.",1969-01-01,1969,"A BLACK 'POX' ON THE BEACH--Beachgoer Roslyn Leone, 20, a student, and lifeguard Lt. Tom Johnson inspect patches of oil that have washed ashore at Santa Monica. The patches, which have appeared on beaches as far south as Laguna Beach, apparently are from the leaking Santa Barbara well. Union Oil Co., although not admitting responsibility, sent a crew to begin clearing the Santa Monica strand.",-118.5420299,34.03782223,"34.03782223,-118.5420299",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325890a.jpg
"Aerial view of rows of Volkswagen Beetles and Vanagon vans at Terminal Island, Calif., 1969",Vanagon van,Other,,Terminal Island (Calif.),"Malmin, John",1969-01-01,1969,,-118.2554305,33.73681363,"33.73681363,-118.2554305",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326122a.jpg
"Lie detector test demonstration at American Polygraph Association convention in Los Angeles, Calif., 1970",Congresses and conventions--California--Los Angeles,Other,American Polygraph Association,Los Angeles (Calif.),,1970-01-01,1970,,-118.3599186,34.1376054,"34.1376054,-118.3599186",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283010a.jpg
"Arnold Dietrich, leader of Los Angeles Children of God, with his wife Faith Berg, in front of the sect's Skid Row building, 1970",Jesus People--California--Los Angeles County,Other,"Dietrich, Faith Berg, 1951-",Los Angeles (Calif.),"Browne, Rick",1970-01-01,1970,,-118.2419121,34.04317312,"34.04317312,-118.2419121",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282999a.jpg
"Crowd of people watching a 747 jumbo jet take off at Los Angeles International Airport, 1970",Boeing 747 (Jet transports),Other,Los Angeles International Airport,Los Angeles (Calif.),"Fry, George R.",1970-01-01,1970,WATCHING THE BIG BIRD--The public's fascination with the new 747 jumbo jetliners continued Sunday with hundreds of persons watching takeoff from west end of International Airport.,-118.43667,33.94852433,"33.94852433,-118.43667",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282950a.jpg
"Dr. James Gardner and Mrs. Jacob Oliker working with child, Psychological Center of Los Angeles, Venice, 1970",Boys--California--Los Angeles County,Other,Psychological Center of Los Angeles,"Venice (Los Angeles, Calif.)","Graham, Ray",1970-01-01,1970,"Text from newspaper caption: Progress--Tape recorder is useful item for para-professional therapists working with children at Psychological Center in Venice.  Mrs. Jacob Oliker, tutor and para-professional, talks with Mark, supervised by Dr. James Gardner, center director.",-118.4630723,33.9992839,"33.9992839,-118.4630723",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b649_neg262864_frame9.jpg
"Troubled teenage girl, Gateways Hospital and Community Mental Health Center, Los Angeles, 1970",Mentally ill--Care--California--Los Angeles County,Other,Gateways Hospital and Community Mental Health Center,Los Angeles (Calif.),"Gunderson, Judd",1970-01-01,1970,Text from newspaper caption: End of Her Rope--Troubled teen-ager overwhelmed by problems is near mental breakdown.,-118.2567358,34.08534218,"34.08534218,-118.2567358",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b644_neg261993_frame1.jpg
"Dr. Leonard M. Linde signing cast for a war injured Vietnamese child hospital in Northridge, Calif., 1970",Children $x Hospital care $z California $z Los Angeles,Other,Committee of Responsibility to Save War-Burned and War-Injured Vietnamese Children (U.S.),"Northridge (Los Angeles, Calif.)","Frampton, Mary",1970-01-01,1970,"SIGN OF HAPPIER TIMES--Dr.Leonard M. Linde autographs cast for Le Than as Phan Thi Hieu watches. War-injured Vietnamese children, being given free care at Northridge Hospital, are among five who are being treated in Los Angeles area through the work of the Committee of Responsibility.",-118.5332751,34.21992886,"34.21992886,-118.5332751",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283137a.jpg
"Comparative psychologist D. Leon Smith observing bear during tests at Japanese village in Buena Park, Calif., 1970",Animals--Psychological testing--California--Buena Park,Other,,Buena Park (Calif.),"Montney, Cal",1970-01-01,1970,"PUSHBUTTON TRAINING--D. Leon Smith at control panel releases a meat pellet for Maki, a bear at Japanese village. Immediate rewards and absence of punishment mark training.",-118.0111992,33.87258911,"33.87258911,-118.0111992",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283120a.jpg
"Birds-eye view of hangar where first Boeing 747 is parked along side other planes at Los Angeles International Airport, 1970",Boeing 747 (Jet transports),Other,Los Angeles International Airport,Los Angeles (Calif.),"Malmin, John",1970-01-01,1970,"NEWCOMER WITH BIG SHOULDERS--Looking large, top left, beside regular jetliners at an International Airport satellite is the new Boeing 747, which was first to arrive here for TWA.",-118.4086631,33.9435273,"33.9435273,-118.4086631",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282940a.jpg
"Architect Randall Duell sitting before tractors during construction of Magic Mountain theme park in Valencia, Calif., 1970",Architects--United States,Other,"Magic Mountain, inc.",Valencia (Calif.),,1970-01-01,1970,"MAKING MAGIC--Randall Duell, AIA, sits before tractors carving Magic Mountains from contours of Valley of Valencia. Amusement park opens in spring.",-118.5973692,34.42173949,"34.42173949,-118.5973692",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283004a.jpg
"Airplane passing over a house being moved near Los Angeles International Airport, 1970",Airplanes--Landing,Other,Los Angeles International Airport,Los Angeles (Calif.),"Fry, George R.",1970-01-01,1970,"INCOMING AND OUTGOING--While a jetliner sweeps in low for a landing at International Airport, movers jack up another one of the houses being hauled away to clear a large area east of Sepulveda Blvd. in Westchester. The almost daily house-moving occurs east of northerly runways.",-118.3942723,33.95540152,"33.95540152,-118.3942723",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283022a.jpg
"McDonnell Douglas DC-10 jet airliner's debut in Long Beach, Calif., 1970",Jet planes--United States--1960-1970,Other,,Long Beach (Calif.),"Browne, Rick",1970-01-01,1970,"DISCREET GIANT--Newest Douglas flagship, the DC-10 tri-jet airliner impressed guests at its formal debut in Long Beach Thursday when it rolled out of the hangar under its own power. Quiet engines were started up during ceremonies without disturbing speakers just outside hangar. Observers remarked on hushed tone of the huge plane's three jet engines as it taxied outside.",-118.1579322,33.81868137,"33.81868137,-118.1579322",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327684a.jpg
"Boys riding bicycles past unused water storage tank on Kashia Indian Reservation, Calif., 1970",Indians of North America--California--Sonoma County--Social conditions,Other,,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California","Cox, Bruce H.",1970-01-01,1970,"BUREAUCRATIC SNAG--Boys living on Kashia Indian Reservation ride bicycles past water storage tank that is part of water system started in 1968 but still not in operation because of bureaucratic bungling. Storage tank is not working either. The old storage tank, left, was supplied by truck.",-123.3991756,38.651857,"38.651857,-123.3991756",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282961a.jpg
"MacArthur Park in Los Angeles, Calif., 1971",Outdoor recreation--California--Los Angeles County,Other,,"MacArthur Park (Los Angeles, Calif.)","Meadows, Mike",1971-01-01,1971,"TO EACH HIS OWN--On a warm day at MacArthur Park, some ride bikes, some doze, kids run and play ball and others just watch the others.",-118.2763544,34.05958818,"34.05958818,-118.2763544",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327690a.jpg
"Male nurse, Lynn Loufek, attending to infant at Children's Hospital Los Angeles, Calif., 1971",Nurses--California--Los Angeles County,Other,Childrens Hospital of Los Angeles,Los Angeles (Calif.),"Gunderson, Judd",1971-01-01,1971,SPECIAL CARE--Sick infant in isolation unit at Childrens [sic] Hospital is checked by Lynn Loufek,-118.2899129,34.0974597,"34.0974597,-118.2899129",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327228a.jpg
"Lifeguard removing oil from feet of woman after Navy oil tanker spill, Doheny State Beach, Calif., 1971","Oil spills--California, Southern",Other,,Dana Point (Calif.),"Malmin, John",1971-01-01,1971,"OIL SPILL VICTIM--Jody Harris, 19, of Van Nuys is pretty lady in distress as heavy oily substance is removed from her feet by lifeguard Jim Causey of Laguna Beach at Doheny State Beach.",-117.6798499,33.4612789,"33.4612789,-117.6798499",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283061a.jpg
"Boy on bicycle putting donation into kettle as four-piece Salvation Army brass band plays in Hollywood, Calif., 1971",Boys--California--Los Angeles County,Other,Salvation Army,"Hollywood (Los Angeles, Calif.)","Varie, Bill",1971-01-01,1971,"DONATION--Youth on bicycle drops some change into Salvation Army kettle located at corner of Hollywood and Vine while a traditional, four-piece brass band plays a selection of Christmas carols",-118.3266562,34.1016288,"34.1016288,-118.3266562",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327701a.jpg
"Los Angeles County Air Pollution patrolmen watch exhaust bellow from school bus, 1971",Air--Pollution--California--Los Angeles County,Other,Los Angeles County (Calif.). Air Pollution Control District,"Sun Valley (Los Angeles, Calif.)","Malmin, John",1971-01-01,1971,"CATCHING THE BUS--Two smog spotters, Art Segal and Ralph George, right, view smoke coming from school bus in Sun Valley. They cited the Associated Charter Bus Co., one of the few violators that were found by 48 inspectors who starting fanning out on a raid before dawn.",-118.3847398,34.22492337,"34.22492337,-118.3847398",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283063a.jpg
Dance class at the Watts Neighborhood Center,Community centers--California--Los Angeles,Other,"Watts Neighborhood Center (Los Angeles, Calif.)","Watts (Los Angeles, Calif.)",,1971-01-01,1971,,-118.241204,33.93877271,"33.93877271,-118.241204",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012929a.jpg
"Aerial view of construction on San Bernardino Freeway near California State University Los Angeles, 1972",Express highways--California--Los Angeles County--Design and construction,Other,"California State University, Los Angeles",Interstate 10 (Calif.),,1972-01-01,1972,,-118.1662416,34.05834825,"34.05834825,-118.1662416",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327566a.jpg
"Aerial view of Westlake Village, Calif., 1972",Municipal incorporation--California--Westlake Village,Other,,Westlake Village (Calif.)--Aerial views,"Sharkey, Larry",1972-01-01,1972,"DIVIDED COMMUNITY--Part of Westlake Village is unincorporated and lies in Los Angeles County. The rest is incorporated in the city of Thousand Oaks and is in Ventura County. Some residents on both sides want the village incorporated as an entity and the county boundary changed to bring it all into Los Angeles County. Some officials of Thousand Oaks want the law barring annexation across county lines changed to permit them to incorporate all of the village, in two counties. The village is served by three school districts and two different phone companies, water companies and fire and sheriff departments. Tax rates and assessed calculations differ on homes in close proximity.",-118.8491535,34.14418535,"34.14418535,-118.8491535",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327567a.jpg
"Dog poking head out of car sunroof as boats sail by at Marina del Rey, Calif., 1972",Boats and boating--California--Los Angeles County,Other,,Marina del Rey (Calif.),"Cormier, Don",1972-01-01,1972,CAR WITH AN OPEN WOOF--Pooch poking head out of sunroof gets view of boats at Marina del Rey,-118.4518862,33.96769053,"33.96769053,-118.4518862",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327716a.jpg
"Kurt Niklas, owner and maitre d' Jimmy Murphy of the Bistro restaurant in Beverly Hills, Calif., 1972",Restaurateurs--California--Los Angeles,Other,,Beverly Hills (Calif.),"Frampton, Mary",1972-01-01,1972,"BISTRO SUPERFANS--Kurt Niklas, left, owner of Beverly Hills' ""unassuming little neighborhood restaurant--the Bistro"" and maitre d' Jimmy Murphy are greatly responsible for the Bistro's staying power for the Beautiful People.",-118.3976801,34.06749624,"34.06749624,-118.3976801",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327232a.jpg
"Cityscape of downtown Los Angeles, viewed from Dodger Stadium, 1972",Landmarks,Other,,"Los Angeles (Calif.)--Buildings, structures, etc.","Malmin, John",1972-01-01,1972,A RARE LOS ANGELES MORNING--Smog was nowhere to be seen this morning over downtown. Picture was taken from Dodger Stadium.,-118.2407105,34.07250644,"34.07250644,-118.2407105",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326970a.jpg
